,Loss func,Func params,Num observations,Learn rate,Init w1,Init w2,Init bias,break good,break bad,Num iterations,w1 delta,w2 delta,bias delta,loss / num obs,loss,w1,w2,bias
96,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-10.0,-10.0,False,False,9999,0.014,-0.015,5.524,15.349,15348.52,1.986,-2.985,-0.524
97,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-10.0,-0.1,False,False,9999,0.004,-0.008,1.881,1.905,1904.95,1.996,-2.992,3.119
98,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-10.0,0.1,False,False,9999,0.003,-0.007,1.808,1.77,1770.11,1.997,-2.993,3.192
99,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-10.0,10.0,False,False,9999,-0.007,0.0,-1.835,1.864,1864.476,2.007,-3.0,6.835
100,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-0.1,-10.0,False,False,9999,0.014,-0.015,5.531,15.387,15386.985,1.986,-2.985,-0.531
101,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-0.1,-0.1,False,False,9999,0.004,-0.008,1.888,1.918,1918.01,1.996,-2.992,3.112
102,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-0.1,0.1,False,False,9999,0.003,-0.007,1.815,1.783,1782.656,1.997,-2.993,3.185
103,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,-0.1,10.0,False,False,9999,-0.007,-0.001,-1.828,1.852,1851.617,2.007,-2.999,6.828
104,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,0.1,-10.0,False,False,9999,0.014,-0.015,5.532,15.388,15387.762,1.986,-2.985,-0.532
105,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,0.1,-0.1,False,False,9999,0.004,-0.008,1.889,1.918,1918.274,1.996,-2.992,3.111
106,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,0.1,0.1,False,False,9999,0.003,-0.007,1.815,1.783,1782.91,1.997,-2.993,3.185
107,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,0.1,10.0,False,False,9999,-0.007,-0.001,-1.828,1.851,1851.358,2.007,-2.999,6.828
108,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,10.0,-10.0,False,False,9999,0.014,-0.015,5.539,15.426,15426.277,1.986,-2.985,-0.539
109,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,10.0,-0.1,False,False,9999,0.004,-0.008,1.895,1.931,1931.383,1.996,-2.992,3.105
110,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,10.0,0.1,False,False,9999,0.003,-0.008,1.822,1.796,1795.506,1.997,-2.992,3.178
111,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,0.1,10.0,10.0,False,False,9999,-0.007,-0.001,-1.821,1.839,1838.548,2.007,-2.999,6.821
112,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-10.0,-10.0,False,False,9999,0.014,-0.015,5.514,15.293,15293.466,1.986,-2.985,-0.514
113,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-10.0,-0.1,False,False,9999,0.004,-0.008,1.871,1.886,1886.314,1.996,-2.992,3.129
114,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-10.0,0.1,False,False,9999,0.003,-0.007,1.798,1.752,1752.209,1.997,-2.993,3.202
115,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-10.0,10.0,False,False,9999,-0.007,0.0,-1.845,1.883,1882.994,2.007,-3.0,6.845
116,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-0.1,-10.0,False,False,9999,0.014,-0.015,5.521,15.332,15331.861,1.986,-2.985,-0.521
117,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-0.1,-0.1,False,False,9999,0.004,-0.008,1.878,1.899,1899.304,1.996,-2.992,3.122
118,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-0.1,0.1,False,False,9999,0.003,-0.007,1.805,1.765,1764.686,1.997,-2.993,3.195
